Returns,Volatility,Sharpe Ratio,Coal Weight,Gold Weight,Silver Weight,Copper Weight,Tin Weight,Coffee Weight,Wheat Weight,Milk Weight,Nifty50 Weight,JASDAQ Weight,CrudeOil Weight,BSE Weight,NASDAQ Weight,S&P 500 Weight,DJ Indutrial Weight,NYSE Weight,Russell 2000 Weight,Nikkei 225 Weight,Rice Weight,Cotton Weight,Gasoline Weight,Treasury Bonds Weight,Fed Bonds Weight,INR Weight,JPY Weight
0.1,0.131,0.766,0.015,0.061,0.037,0.044,0.016,0.018,0.04,0.062,0.05,0.007,0.066,0.067,0.09,0.006,0.052,0.004,0.072,0.03,0.057,0.03,0.019,0.016,0.081,0.017,0.043
0.1,0.131,0.764,0.005,0.048,0.019,0.011,0.016,0.03,0.089,0.09,0.044,0.058,0.041,0.082,0.039,0.029,0.034,0.004,0.066,0.005,0.018,0.089,0.016,0.013,0.085,0.058,0.012
0.101,0.132,0.766,0.026,0.032,0.04,0.038,0.01,0.039,0.083,0.082,0.079,0.006,0.024,0.058,0.017,0.019,0.082,0.02,0.045,0.004,0.078,0.023,0.019,0.014,0.086,0.042,0.033
0.102,0.133,0.764,0.012,0.057,0.055,0.085,0.01,0.002,0.055,0.055,0.025,0.03,0.028,0.061,0.058,0.068,0.026,0.016,0.054,0.004,0.071,0.044,0.016,0.012,0.085,0.027,0.046
0.102,0.133,0.766,0.021,0.083,0.048,0.09,0.001,0.006,0.052,0.06,0.087,0.026,0.004,0.056,0.011,0.012,0.061,0.084,0.005,0.078,0.034,0.032,0.012,0.011,0.086,0.037,0.004
0.103,0.141,0.733,0.055,0.026,0.065,0.062,0.009,0.021,0.014,0.059,0.029,0.043,0.075,0.024,0.064,0.015,0.06,0.06,0.012,0.022,0.078,0.063,0.002,0.011,0.093,0.025,0.013
0.103,0.141,0.73,0.02,0.091,0.003,0.034,0.02,0.042,0.047,0.048,0.036,0.033,0.007,0.042,0.009,0.01,0.029,0.012,0.056,0.06,0.078,0.074,0.061,0.012,0.098,0.057,0.021
0.104,0.137,0.762,0.005,0.081,0.059,0.09,0.026,0.082,0.027,0.08,0.047,0.008,0.063,0.052,0.017,0.063,0.014,0.024,0.076,0.0,0.029,0.016,0.017,0.005,0.083,0.035,0.002
0.105,0.139,0.755,0.002,0.087,0.021,0.007,0.008,0.007,0.077,0.012,0.084,0.027,0.069,0.064,0.067,0.017,0.02,0.001,0.056,0.041,0.08,0.082,0.044,0.012,0.087,0.013,0.015
0.106,0.146,0.729,0.038,0.009,0.087,0.091,0.014,0.062,0.042,0.079,0.012,0.02,0.06,0.058,0.053,0.026,0.039,0.06,0.0,0.02,0.024,0.001,0.004,0.004,0.097,0.035,0.065
0.107,0.163,0.657,0.019,0.03,0.016,0.046,0.007,0.063,0.022,0.015,0.005,0.01,0.016,0.01,0.042,0.075,0.01,0.032,0.092,0.015,0.051,0.104,0.04,0.077,0.114,0.064,0.025
0.108,0.142,0.759,0.009,0.058,0.09,0.084,0.004,0.0,0.028,0.077,0.049,0.089,0.065,0.077,0.033,0.074,0.015,0.002,0.03,0.002,0.026,0.011,0.022,0.031,0.09,0.002,0.031
0.109,0.149,0.733,0.004,0.067,0.081,0.031,0.008,0.074,0.034,0.072,0.024,0.005,0.081,0.058,0.013,0.091,0.053,0.002,0.03,0.044,0.01,0.003,0.012,0.04,0.099,0.044,0.023
0.11,0.15,0.735,0.002,0.05,0.076,0.097,0.044,0.005,0.036,0.063,0.001,0.035,0.007,0.07,0.08,0.023,0.002,0.041,0.054,0.025,0.06,0.066,0.018,0.007,0.099,0.002,0.033
0.11,0.15,0.728,0.044,0.091,0.041,0.035,0.009,0.018,0.103,0.025,0.017,0.008,0.033,0.028,0.046,0.028,0.055,0.02,0.06,0.039,0.089,0.006,0.035,0.027,0.102,0.025,0.017
0.111,0.155,0.714,0.042,0.056,0.044,0.04,0.005,0.008,0.021,0.075,0.014,0.003,0.026,0.086,0.09,0.058,0.08,0.011,0.014,0.047,0.004,0.028,0.019,0.011,0.11,0.005,0.103
0.111,0.155,0.717,0.03,0.02,0.069,0.024,0.072,0.006,0.071,0.043,0.022,0.02,0.084,0.007,0.008,0.029,0.016,0.005,0.099,0.02,0.091,0.064,0.004,0.003,0.106,0.057,0.03
0.112,0.152,0.732,0.003,0.077,0.027,0.034,0.028,0.035,0.023,0.049,0.05,0.035,0.056,0.083,0.035,0.078,0.026,0.066,0.042,0.002,0.013,0.011,0.048,0.007,0.103,0.045,0.025
0.113,0.159,0.71,0.006,0.111,0.017,0.018,0.006,0.059,0.027,0.006,0.057,0.034,0.088,0.015,0.001,0.023,0.037,0.014,0.102,0.08,0.014,0.066,0.079,0.004,0.105,0.013,0.017
0.114,0.151,0.756,0.029,0.066,0.083,0.065,0.011,0.002,0.03,0.053,0.044,0.052,0.056,0.093,0.079,0.03,0.049,0.01,0.021,0.002,0.024,0.013,0.003,0.017,0.102,0.04,0.024
0.116,0.164,0.711,0.001,0.096,0.07,0.012,0.007,0.016,0.046,0.059,0.028,0.076,0.004,0.018,0.007,0.01,0.082,0.029,0.031,0.017,0.017,0.113,0.019,0.021,0.118,0.028,0.074
0.121,0.166,0.732,0.041,0.075,0.077,0.087,0.015,0.0,0.036,0.007,0.003,0.021,0.034,0.113,0.102,0.037,0.002,0.017,0.091,0.006,0.03,0.02,0.001,0.009,0.113,0.01,0.053
